Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) T,Coverage (%) Y,Coverage (%) Z,Coverage (%) I,Coverage (%) K,Area T,Area Y,Area Z,Area I,Area K,#Peptides,#Unique,#Spec T,#Spec Y,#Spec Z,#Spec I,#Spec K,PTM,Avg. Mass,Description
292,94,ENSMUSP00000030143.6|ENSMUST00000030143.12|ENSMUSG00000028433.14|OTTMUSG00000006639.2|-|Ubap2-201|Ubap2|1132,66.26,3,3,1,1,1,1,9.017E6,2.925E6,1.3566E5,1.7695E6,5.9894E5,3,3,14,5,1,4,2,,117966,ENSMUSP00000030143.6|ENSMUST00000030143.12|ENSMUSG00000028433.14|OTTMUSG00000006639.2|-|Ubap2-201|Ubap2|1132
292,95,TCONS_00099413.p1,66.26,3,3,1,1,1,1,9.017E6,2.925E6,1.3566E5,1.7695E6,5.9894E5,3,3,14,5,1,4,2,,117423,TCONS_00099413.p1   chr4:41195151-41251633(-)
292,100,TCONS_00099412.p1,66.26,5,5,1,1,1,1,9.017E6,2.925E6,1.3566E5,1.7695E6,5.9894E5,3,3,14,5,1,4,2,,77739,TCONS_00099412.p1   chr4:41195151-41209524(-)
292,101,TCONS_00099415.p1,66.26,5,5,1,1,1,1,9.017E6,2.925E6,1.3566E5,1.7695E6,5.9894E5,3,3,14,5,1,4,2,,78282,TCONS_00099415.p1   chr4:41195151-41209524(-)
297,371,ENSMUSP00000110396.1|ENSMUST00000114748.1|ENSMUSG00000025428.15|OTTMUSG00000017510.3|OTTMUST00000042521.3|Atp5a1-202|Atp5a1|503,66.12,13,3,8,3,3,0,1.9952E5,7.6039E6,1.943E4,0,,8,8,3,20,1,1,0,,54595,ENSMUSP00000110396.1|ENSMUST00000114748.1|ENSMUSG00000025428.15|OTTMUSG00000017510.3|OTTMUST00000042521.3|Atp5a1-202|Atp5a1|503
297,373,ENSMUSP00000026495.8|ENSMUST00000026495.14|ENSMUSG00000025428.15|OTTMUSG00000017510.3|OTTMUST00000042520.1|Atp5a1-201|Atp5a1|553,66.12,12,3,7,2,3,0,1.9952E5,7.6039E6,1.943E4,0,,8,8,3,20,1,1,0,,59753,ENSMUSP00000026495.8|ENSMUST00000026495.14|ENSMUSG00000025428.15|OTTMUSG00000017510.3|OTTMUST00000042520.1|Atp5a1-201|Atp5a1|553
597,811,ENSMUSP00000114159.1|ENSMUST00000135573.7|ENSMUSG00000028691.12|OTTMUSG00000009533.5|OTTMUST00000021822.1|Prdx1-204|Prdx1|199,65.96,9,8,0,9,9,0,7.2163E6,,3.4407E4,7.38E4,,2,2,7,0,2,1,0,Acetylation (Protein N-term),22176,ENSMUSP00000114159.1|ENSMUST00000135573.7|ENSMUSG00000028691.12|OTTMUSG00000009533.5|OTTMUST00000021822.1|Prdx1-204|Prdx1|199
597,851,ENSMUSP00000119794.1|ENSMUST00000151129.7|ENSMUSG00000028691.12|OTTMUSG00000009533.5|OTTMUST00000021825.2|Prdx1-205|Prdx1|169,65.96,10,9,0,10,10,0,7.2163E6,,3.4407E4,7.38E4,,2,2,7,0,2,1,0,Acetylation (Protein N-term),18870,ENSMUSP00000119794.1|ENSMUST00000151129.7|ENSMUSG00000028691.12|OTTMUSG00000009533.5|OTTMUST00000021825.2|Prdx1-205|Prdx1|169
597,852,ENSMUSP00000030454.5|ENSMUST00000030454.5|ENSMUSG00000028691.12|OTTMUSG00000009533.5|OTTMUST00000021827.2|Prdx1-201|Prdx1|176,65.96,10,9,0,10,10,0,7.2163E6,,3.4407E4,7.38E4,,2,2,7,0,2,1,0,Acetylation (Protein N-term),19483,ENSMUSP00000030454.5|ENSMUST00000030454.5|ENSMUSG00000028691.12|OTTMUSG00000009533.5|OTTMUST00000021827.2|Prdx1-201|Prdx1|176
46,204,ENSMUSP00000019283.9|ENSMUST00000019283.9|ENSMUSG00000019139.10|OTTMUSG00000061446.1|-|Isyna1-201|Isyna1|557,65.87,5,5,1,1,1,1,6.3827E7,1.3535E8,4.9954E6,9.0131E7,3.3564E7,4,4,24,31,5,46,33,,60932,ENSMUSP00000019283.9|ENSMUST00000019283.9|ENSMUSG00000019139.10|OTTMUSG00000061446.1|-|Isyna1-201|Isyna1|557
243,714,TCONS_00120106.p1,65.60,1,1,1,0,0,1,7.7218E7,2.2304E6,,,5.3282E6,3,3,20,9,0,0,2,,105121,TCONS_00120106.p1   chr6:90662942-90716272(-)
243,715,TCONS_00120108.p1,65.60,1,1,1,0,0,1,7.7218E7,2.2304E6,,,5.3282E6,3,3,20,9,0,0,2,,105115,TCONS_00120108.p1   chr6:90662942-90763822(-)
243,719,ENSMUSP00000098712.3|ENSMUST00000101153.9|ENSMUSG00000034312.15|OTTMUSG00000029729.6|OTTMUST00000073759.4|Iqsec1-202|Iqsec1|961,65.60,1,1,1,0,0,1,7.7218E7,2.2304E6,,,5.3282E6,3,3,20,9,0,0,2,,108015,ENSMUSP00000098712.3|ENSMUST00000101153.9|ENSMUSG00000034312.15|OTTMUSG00000029729.6|OTTMUST00000073759.4|Iqsec1-202|Iqsec1|961
243,815,ENSMUSP00000108224.1|ENSMUST00000112605.7|ENSMUSG00000041115.16|OTTMUSG00000019682.1|OTTMUST00000047113.1|Iqsec2-203|Iqsec2|1488,65.60,1,1,1,0,0,1,7.7218E7,2.2304E6,,,5.3282E6,3,3,20,9,0,0,2,,162833,ENSMUSP00000108224.1|ENSMUST00000112605.7|ENSMUSG00000041115.16|OTTMUSG00000019682.1|OTTMUST00000047113.1|Iqsec2-203|Iqsec2|1488
243,886,TCONS_00120107.p1,65.60,1,1,1,0,0,1,7.7218E7,2.2304E6,,,5.3282E6,3,3,20,9,0,0,2,,110807,TCONS_00120107.p1   chr6:90662455-90690820(-)
243,1387,ENSMUSP00000108223.1|ENSMUST00000112604.7|ENSMUSG00000041115.16|OTTMUSG00000019682.1|OTTMUST00000047114.1|Iqsec2-202|Iqsec2|1154,65.60,1,1,1,0,0,1,7.7218E7,2.2304E6,,,5.3282E6,3,3,20,9,0,0,2,,128023,ENSMUSP00000108223.1|ENSMUST00000112604.7|ENSMUSG00000041115.16|OTTMUSG00000019682.1|OTTMUST00000047114.1|Iqsec2-202|Iqsec2|1154
243,1410,TCONS_00154734.p1,65.60,1,1,1,0,0,1,7.7218E7,2.2304E6,,,5.3282E6,3,3,20,9,0,0,2,,101700,TCONS_00154734.p1   chrX:152179065-152222935(+)
243,1411,ENSMUSP00000093995.4|ENSMUST00000096275.4|ENSMUSG00000041115.16|OTTMUSG00000019682.1|OTTMUST00000047115.1|Iqsec2-201|Iqsec2|949,65.60,1,1,1,0,0,1,7.7218E7,2.2304E6,,,5.3282E6,3,3,20,9,0,0,2,,105201,ENSMUSP00000093995.4|ENSMUST00000096275.4|ENSMUSG00000041115.16|OTTMUSG00000019682.1|OTTMUST00000047115.1|Iqsec2-201|Iqsec2|949
718,1433,TCONS_00067286.p1,65.54,7,0,0,7,0,0,,,5.9183E6,,,3,3,0,0,7,0,0,Deamidation (NQ),32692,TCONS_00067286.p1   chr18:82500752-82584156(+)
718,4561,ENSMUSP00000115409.2|ENSMUST00000152071.8|ENSMUSG00000041607.17|OTTMUSG00000016316.7|OTTMUST00000039212.3|Mbp-215|Mbp|154,65.54,13,0,0,13,0,0,,,5.9183E6,,,3,3,0,0,7,0,0,Deamidation (NQ),17225,ENSMUSP00000115409.2|ENSMUST00000152071.8|ENSMUSG00000041607.17|OTTMUSG00000016316.7|OTTMUST00000039212.3|Mbp-215|Mbp|154
718,6215,ENSMUSP00000116019.2|ENSMUST00000133193.8|ENSMUSG00000041607.17|OTTMUSG00000016316.7|OTTMUST00000048639.2|Mbp-211|Mbp|128,65.54,16,0,0,16,0,0,,,5.9183E6,,,3,3,0,0,7,0,0,Deamidation (NQ),14211,ENSMUSP00000116019.2|ENSMUST00000133193.8|ENSMUSG00000041607.17|OTTMUSG00000016316.7|OTTMUST00000048639.2|Mbp-211|Mbp|128
85,312,ENSMUSP00000016771.6|ENSMUST00000016771.12|ENSMUSG00000022443.17|OTTMUSG00000016428.4|OTTMUST00000039563.2|Myh9-201|Myh9|1960,65.52,2,0,1,0,1,0,1.8525E7,5.4027E7,1.7098E6,1.1097E8,1.9972E7,4,4,5,16,3,43,20,,226370,ENSMUSP00000016771.6|ENSMUST00000016771.12|ENSMUSG00000022443.17|OTTMUSG00000016428.4|OTTMUST00000039563.2|Myh9-201|Myh9|1960
805,967,ENSMUSP00000030164.7|ENSMUST00000030164.7|ENSMUSG00000028452.7|OTTMUSG00000006688.1|OTTMUST00000015330.1|Vcp-201|Vcp|806,65.44,2,2,0,0,0,0,1.1851E6,,,,,2,2,5,0,0,0,0,Acetylation (Protein N-term),89322,ENSMUSP00000030164.7|ENSMUST00000030164.7|ENSMUSG00000028452.7|OTTMUSG00000006688.1|OTTMUST00000015330.1|Vcp-201|Vcp|806
805,969,ENSMUST00000120233.1|ENSMUSG00000083327.1|OTTMUSG00000018102.1|OTTMUST00000043691.1|Vcp-rs-201|Vcp-rs|2406|processed_pseudogene|,65.44,2,2,0,0,0,0,1.1851E6,,,,,2,2,5,0,0,0,0,Acetylation (Protein N-term),88851,ENSMUST00000120233.1|ENSMUSG00000083327.1|OTTMUSG00000018102.1|OTTMUST00000043691.1|Vcp-rs-201|Vcp-rs|2406|processed_pseudogene|
373,315,ENSMUSP00000045816.1|ENSMUST00000040914.2|ENSMUSG00000036181.2|OTTMUSG00000000732.1|OTTMUST00000001376.1|H1f2-201|H1f2|212,65.44,25,5,16,0,20,0,,2.6888E4,,1.0607E6,,5,2,1,4,0,14,0,Acetylation (Protein N-term),21267,ENSMUSP00000045816.1|ENSMUST00000040914.2|ENSMUSG00000036181.2|OTTMUSG00000000732.1|OTTMUST00000001376.1|H1f2-201|H1f2|212
764,773,ENSMUSP00000022946.5|ENSMUST00000022946.5|ENSMUSG00000022323.11|OTTMUSG00000028006.1|OTTMUST00000069354.1|Rida-201|Rida|135,65.40,13,13,0,0,0,0,3.3689E6,,,,,2,2,6,0,0,0,0,,14255,ENSMUSP00000022946.5|ENSMUST00000022946.5|ENSMUSG00000022323.11|OTTMUSG00000028006.1|OTTMUST00000069354.1|Rida-201|Rida|135
863,631,ENSMUSP00000035579.3|ENSMUST00000043722.9|ENSMUSG00000033880.11|OTTMUSG00000003881.4|OTTMUST00000008559.2|Lgals3bp-201|Lgals3bp|577,65.34,3,3,0,0,0,0,4.4392E5,,,,,2,2,4,0,0,0,0,,64491,ENSMUSP00000035579.3|ENSMUST00000043722.9|ENSMUSG00000033880.11|OTTMUSG00000003881.4|OTTMUST00000008559.2|Lgals3bp-201|Lgals3bp|577
863,632,TCONS_00027012.p1,65.34,2,2,0,0,0,0,4.4392E5,,,,,2,2,4,0,0,0,0,,67957,TCONS_00027012.p1   chr11:118393018-118401763(-)
863,845,ENSMUSP00000120846.1|ENSMUST00000144529.1|ENSMUSG00000033880.11|OTTMUSG00000003881.4|OTTMUST00000008561.1|Lgals3bp-205|Lgals3bp|139,65.34,11,11,0,0,0,0,4.4392E5,,,,,2,2,4,0,0,0,0,,15437,ENSMUSP00000120846.1|ENSMUST00000144529.1|ENSMUSG00000033880.11|OTTMUSG00000003881.4|OTTMUST00000008561.1|Lgals3bp-205|Lgals3bp|139
118,1714,ENSMUSP00000016396.7|ENSMUST00000016396.7|ENSMUSG00000016252.7|OTTMUSG00000016513.1|OTTMUST00000039900.1|Atp5e-201|Atp5e|52,65.23,33,33,17,17,17,17,3.1436E7,3.4695E7,7.4931E6,6.2433E7,1.4867E6,4,4,20,15,4,22,2,,5838,ENSMUSP00000016396.7|ENSMUST00000016396.7|ENSMUSG00000016252.7|OTTMUSG00000016513.1|OTTMUST00000039900.1|Atp5e-201|Atp5e|52
820,300,ENSMUSP00000104770.1|ENSMUST00000109142.7|ENSMUSG00000007850.16|OTTMUSG00000005583.2|OTTMUST00000012418.2|Hnrnph1-203|Hnrnph1|449,64.98,11,4,0,0,7,0,5.186E4,,,1.8948E6,,3,2,1,0,0,4,0,,49199,ENSMUSP00000104770.1|ENSMUST00000109142.7|ENSMUSG00000007850.16|OTTMUSG00000005583.2|OTTMUST00000012418.2|Hnrnph1-203|Hnrnph1|449
820,310,TCONS_00018305.p1,64.98,21,8,0,0,12,0,5.186E4,,,1.8948E6,,3,2,1,0,0,4,0,,26473,TCONS_00018305.p1   chr11:50382604-50385190(+)
820,311,ENSMUST00000134230.7|ENSMUSG00000007850.16|OTTMUSG00000005583.2|OTTMUST00000012422.1|Hnrnph1-211|Hnrnph1|1724|processed_transcript|,64.98,14,6,0,0,9,0,5.186E4,,,1.8948E6,,3,2,1,0,0,4,0,,38826,ENSMUST00000134230.7|ENSMUSG00000007850.16|OTTMUSG00000005583.2|OTTMUST00000012422.1|Hnrnph1-211|Hnrnph1|1724|processed_transcript|
427,176,ENSMUSP00000129823.1|ENSMUST00000169312.1|ENSMUSG00000117748.1|OTTMUSG00000073859.1|OTTMUST00000179175.1|Gm50241-201|Gm50241|533,64.90,7,7,2,0,0,0,3.8203E7,0,,,,4,4,15,1,0,0,0,,52244,ENSMUSP00000129823.1|ENSMUST00000169312.1|ENSMUSG00000117748.1|OTTMUSG00000073859.1|OTTMUST00000179175.1|Gm50241-201|Gm50241|533
960,899,TCONS_00052260.p1,64.20,2,2,0,0,0,0,1.2745E6,,,,,2,2,3,0,0,0,0,,63454,TCONS_00052260.p1   chr16:4886386-4937008(+)
960,900,ENSMUSP00000023159.9|ENSMUST00000023159.9|ENSMUSG00000022517.17|OTTMUSG00000070991.1|OTTMUST00000171655.1|Mgrn1-201|Mgrn1|556,64.20,2,2,0,0,0,0,1.2745E6,,,,,2,2,3,0,0,0,0,,61016,ENSMUSP00000023159.9|ENSMUST00000023159.9|ENSMUSG00000022517.17|OTTMUSG00000070991.1|OTTMUST00000171655.1|Mgrn1-201|Mgrn1|556
960,912,ENSMUSP00000155425.1|ENSMUST00000230990.1|ENSMUSG00000022517.17|OTTMUSG00000070991.1|OTTMUST00000171658.1|Mgrn1-208|Mgrn1|554,64.20,2,2,0,0,0,0,1.2745E6,,,,,2,2,3,0,0,0,0,,60915,ENSMUSP00000155425.1|ENSMUST00000230990.1|ENSMUSG00000022517.17|OTTMUSG00000070991.1|OTTMUST00000171658.1|Mgrn1-208|Mgrn1|554
960,913,ENSMUSP00000068314.8|ENSMUST00000070658.15|ENSMUSG00000022517.17|OTTMUSG00000070991.1|OTTMUST00000171656.1|Mgrn1-202|Mgrn1|532,64.20,2,2,0,0,0,0,1.2745E6,,,,,2,2,3,0,0,0,0,,58478,ENSMUSP00000068314.8|ENSMUST00000070658.15|ENSMUSG00000022517.17|OTTMUSG00000070991.1|OTTMUST00000171656.1|Mgrn1-202|Mgrn1|532
960,914,ENSMUSP00000155034.1|ENSMUST00000229038.1|ENSMUSG00000022517.17|OTTMUSG00000070991.1|OTTMUST00000171657.1|Mgrn1-203|Mgrn1|533,64.20,2,2,0,0,0,0,1.2745E6,,,,,2,2,3,0,0,0,0,,58549,ENSMUSP00000155034.1|ENSMUST00000229038.1|ENSMUSG00000022517.17|OTTMUSG00000070991.1|OTTMUST00000171657.1|Mgrn1-203|Mgrn1|533
377,188,ENSMUSP00000080302.6|ENSMUST00000081593.12|ENSMUSG00000062070.12|OTTMUSG00000018277.2|OTTMUST00000044166.1|Pgk1-201|Pgk1|417,63.21,13,13,6,0,0,0,1.7907E6,1.6563E6,,,,4,4,11,7,0,0,0,Oxidation (M),44550,ENSMUSP00000080302.6|ENSMUST00000081593.12|ENSMUSG00000062070.12|OTTMUSG00000018277.2|OTTMUST00000044166.1|Pgk1-201|Pgk1|417
169,249,ENSMUSP00000084572.7|ENSMUST00000087315.13|ENSMUSG00000007029.16|OTTMUSG00000037142.4|OTTMUST00000095643.1|Vars-201|Vars|1263,63.07,3,2,1,0,1,1,1.0167E7,5.6667E6,,3.7158E6,3.8598E6,4,4,15,12,0,11,9,Oxidation (M),140215,ENSMUSP00000084572.7|ENSMUST00000087315.13|ENSMUSG00000007029.16|OTTMUSG00000037142.4|OTTMUST00000095643.1|Vars-201|Vars|1263
169,250,ENSMUSP00000133994.1|ENSMUST00000173584.7|ENSMUSG00000007029.16|OTTMUSG00000037142.4|OTTMUST00000095644.2|Vars-210|Vars|1278,63.07,3,2,1,0,1,1,1.0167E7,5.6667E6,,3.7158E6,3.8598E6,4,4,15,12,0,11,9,Oxidation (M),141407,ENSMUSP00000133994.1|ENSMUST00000173584.7|ENSMUSG00000007029.16|OTTMUSG00000037142.4|OTTMUST00000095644.2|Vars-210|Vars|1278
607,1018,ENSMUSP00000030642.2|ENSMUST00000030642.2|ENSMUSG00000028837.8|OTTMUSG00000009281.1|OTTMUST00000021044.1|Psmb2-201|Psmb2|201,63.02,13,13,4,0,0,0,4.8547E6,6.5452E5,,,,4,4,9,1,0,0,0,,22906,ENSMUSP00000030642.2|ENSMUST00000030642.2|ENSMUSG00000028837.8|OTTMUSG00000009281.1|OTTMUST00000021044.1|Psmb2-201|Psmb2|201
607,1039,ENSMUST00000150372.1|ENSMUSG00000028837.8|OTTMUSG00000009281.1|OTTMUST00000021046.1|Psmb2-203|Psmb2|708|processed_transcript|,63.02,14,14,4,0,0,0,4.8547E6,6.5452E5,,,,4,4,9,1,0,0,0,,20427,ENSMUST00000150372.1|ENSMUSG00000028837.8|OTTMUSG00000009281.1|OTTMUST00000021046.1|Psmb2-203|Psmb2|708|processed_transcript|
321,1502,ENSMUSP00000022616.6|ENSMUST00000022616.13|ENSMUSG00000022037.15|OTTMUSG00000032654.7|OTTMUST00000081231.3|Clu-201|Clu|448,62.84,4,0,0,0,0,4,,,,,4.1536E6,2,2,0,0,0,0,23,,51656,ENSMUSP00000022616.6|ENSMUST00000022616.13|ENSMUSG00000022037.15|OTTMUSG00000032654.7|OTTMUST00000081231.3|Clu-201|Clu|448
582,426,ENSMUST00000122422.2|ENSMUSG00000081094.4|OTTMUSG00000020721.2|OTTMUST00000049036.2|Rpl19-ps11-201|Rpl19-ps11|591|processed_pseudogene|,62.49,12,12,0,0,0,0,3.8214E6,,,,,3,3,11,0,0,0,0,Oxidation (M); Acetylation (Protein N-term),23438,ENSMUST00000122422.2|ENSMUSG00000081094.4|OTTMUSG00000020721.2|OTTMUST00000049036.2|Rpl19-ps11-201|Rpl19-ps11|591|processed_pseudogene|
582,427,ENSMUSP00000017548.6|ENSMUST00000017548.6|ENSMUSG00000017404.12|OTTMUSG00000002909.1|OTTMUST00000005956.1|Rpl19-201|Rpl19|196,62.49,12,12,0,0,0,0,3.8214E6,,,,,3,3,11,0,0,0,0,Oxidation (M); Acetylation (Protein N-term),23466,ENSMUSP00000017548.6|ENSMUST00000017548.6|ENSMUSG00000017404.12|OTTMUSG00000002909.1|OTTMUST00000005956.1|Rpl19-201|Rpl19|196
582,443,ENSMUST00000121059.1|ENSMUSG00000064281.7|OTTMUSG00000021592.1|OTTMUST00000051265.1|Rpl19-ps1-201|Rpl19-ps1|591|processed_pseudogene|,62.49,12,12,0,0,0,0,3.8214E6,,,,,3,3,11,0,0,0,0,Oxidation (M); Acetylation (Protein N-term),23619,ENSMUST00000121059.1|ENSMUSG00000064281.7|OTTMUSG00000021592.1|OTTMUST00000051265.1|Rpl19-ps1-201|Rpl19-ps1|591|processed_pseudogene|
528,472,ENSMUSP00000139825.1|ENSMUST00000186380.6|ENSMUSG00000042699.11|OTTMUSG00000049714.2|OTTMUST00000126626.1|Dhx9-202|Dhx9|1383,62.44,4,1,0,0,3,0,1.7551E5,,,8.4506E5,,7,4,4,0,0,8,0,,149618,ENSMUSP00000139825.1|ENSMUST00000186380.6|ENSMUSG00000042699.11|OTTMUSG00000049714.2|OTTMUST00000126626.1|Dhx9-202|Dhx9|1383
528,473,ENSMUSP00000038135.5|ENSMUST00000042141.11|ENSMUSG00000042699.11|OTTMUSG00000049714.2|-|Dhx9-201|Dhx9|1384,62.44,4,1,0,0,3,0,1.7551E5,,,8.4506E5,,7,4,4,0,0,8,0,,149689,ENSMUSP00000038135.5|ENSMUST00000042141.11|ENSMUSG00000042699.11|OTTMUSG00000049714.2|-|Dhx9-201|Dhx9|1384
562,756,ENSMUSP00000078589.6|ENSMUST00000079644.12|ENSMUSG00000028639.14|OTTMUSG00000009259.2|OTTMUST00000020973.1|Ybx1-201|Ybx1|322,62.03,23,5,0,0,18,18,5.2771E5,,,1.0575E5,1.455E6,3,3,2,0,0,2,7,Acetylation (Protein N-term),35730,ENSMUSP00000078589.6|ENSMUST00000079644.12|ENSMUSG00000028639.14|OTTMUSG00000009259.2|OTTMUST00000020973.1|Ybx1-201|Ybx1|322
862,353,ENSMUSP00000153329.1|ENSMUST00000223728.1|ENSMUSG00000015176.11|OTTMUSG00000067969.3|OTTMUST00000164329.1|Nolc1-203|Nolc1|700,61.99,4,4,0,2,0,0,3.9594E5,,8.2475E4,,,3,3,2,0,2,0,0,,73428,ENSMUSP00000153329.1|ENSMUST00000223728.1|ENSMUSG00000015176.11|OTTMUSG00000067969.3|OTTMUST00000164329.1|Nolc1-203|Nolc1|700
862,354,ENSMUSP00000153545.1|ENSMUST00000225780.1|ENSMUSG00000015176.11|OTTMUSG00000067969.3|OTTMUST00000164327.1|Nolc1-208|Nolc1|701,61.99,4,4,0,2,0,0,3.9594E5,,8.2475E4,,,3,3,2,0,2,0,0,,73570,ENSMUSP00000153545.1|ENSMUST00000225780.1|ENSMUSG00000015176.11|OTTMUSG00000067969.3|OTTMUST00000164327.1|Nolc1-208|Nolc1|701
862,355,ENSMUSP00000128331.1|ENSMUST00000165017.1|ENSMUSG00000015176.11|OTTMUSG00000067969.3|-|Nolc1-201|Nolc1|702,61.99,4,4,0,2,0,0,3.9594E5,,8.2475E4,,,3,3,2,0,2,0,0,,73698,ENSMUSP00000128331.1|ENSMUST00000165017.1|ENSMUSG00000015176.11|OTTMUSG00000067969.3|-|Nolc1-201|Nolc1|702
862,356,ENSMUSP00000153600.1|ENSMUST00000223683.1|ENSMUSG00000015176.11|OTTMUSG00000067969.3|OTTMUST00000164331.1|Nolc1-202|Nolc1|702,61.99,4,4,0,2,0,0,3.9594E5,,8.2475E4,,,3,3,2,0,2,0,0,,73686,ENSMUSP00000153600.1|ENSMUST00000223683.1|ENSMUSG00000015176.11|OTTMUSG00000067969.3|OTTMUST00000164331.1|Nolc1-202|Nolc1|702
862,357,TCONS_00071264.p1,61.99,4,4,0,2,0,0,3.9594E5,,8.2475E4,,,3,3,2,0,2,0,0,,74204,TCONS_00071264.p1   chr19:46076015-46084170(+)
591,273,ENSMUSP00000099509.3|ENSMUST00000103220.3|ENSMUSG00000003660.10|OTTMUSG00000016015.1|OTTMUST00000038159.1|Snrnp200-201|Snrnp200|2136,61.66,2,1,1,0,1,0,2.0881E5,3.08E5,,7.9282E4,,6,6,5,3,0,2,0,Acetylation (Protein N-term),244544,ENSMUSP00000099509.3|ENSMUST00000103220.3|ENSMUSG00000003660.10|OTTMUSG00000016015.1|OTTMUST00000038159.1|Snrnp200-201|Snrnp200|2136
806,446,ENSMUSP00000137440.1|ENSMUST00000179865.7|ENSMUSG00000020368.15|OTTMUSG00000005582.1|-|Canx-205|Canx|591,61.62,6,6,0,0,0,0,1.3796E6,,,,,2,2,5,0,0,0,0,Oxidation (M),67278,ENSMUSP00000137440.1|ENSMUST00000179865.7|ENSMUSG00000020368.15|OTTMUSG00000005582.1|-|Canx-205|Canx|591
164,422,TCONS_00064036.p1,61.21,2,1,2,0,1,1,7.3104E7,2.7853E6,,1.5718E7,4.5206E6,5,5,25,8,0,10,5,,150268,TCONS_00064036.p1   chr17:46930359-46976084(-)
164,424,ENSMUSP00000108961.2|ENSMUST00000113335.3|ENSMUSG00000023977.15|OTTMUSG00000068877.1|OTTMUST00000166599.1|Ubr2-201|Ubr2|1755,61.21,1,1,1,0,0,0,7.3104E7,2.7853E6,,1.5718E7,4.5206E6,5,5,25,8,0,10,5,,199197,ENSMUSP00000108961.2|ENSMUST00000113335.3|ENSMUSG00000023977.15|OTTMUSG00000068877.1|OTTMUST00000166599.1|Ubr2-201|Ubr2|1755
164,425,ENSMUSP00000108963.2|ENSMUST00000113337.9|ENSMUSG00000023977.15|OTTMUSG00000068877.1|OTTMUST00000166596.1|Ubr2-202|Ubr2|1755,61.21,1,1,1,0,0,0,7.3104E7,2.7853E6,,1.5718E7,4.5206E6,5,5,25,8,0,10,5,,199154,ENSMUSP00000108963.2|ENSMUST00000113337.9|ENSMUSG00000023977.15|OTTMUSG00000068877.1|OTTMUST00000166596.1|Ubr2-202|Ubr2|1755
225,560,ENSMUSP00000023352.7|ENSMUST00000023352.8|ENSMUSG00000022672.8|OTTMUSG00000043440.2|OTTMUST00000113952.1|Prkdc-201|Prkdc|4128,61.19,0,0,0,0,0,0,3.589E5,6.4912E6,5.3052E4,1.1951E6,,4,4,3,27,1,4,0,Oxidation (M),471475,ENSMUSP00000023352.7|ENSMUST00000023352.8|ENSMUSG00000022672.8|OTTMUSG00000043440.2|OTTMUST00000113952.1|Prkdc-201|Prkdc|4128
99,3646,ENSMUSP00000035498.9|ENSMUST00000041008.9|ENSMUSG00000033373.16|OTTMUSG00000033888.1|OTTMUST00000085462.1|Fntb-201|Fntb|437,61.08,2,2,2,2,2,2,1.3904E8,2.6088E7,2.4067E5,3.5094E7,1.1587E7,3,3,31,16,1,11,13,,48820,ENSMUSP00000035498.9|ENSMUST00000041008.9|ENSMUSG00000033373.16|OTTMUSG00000033888.1|OTTMUST00000085462.1|Fntb-201|Fntb|437
450,1534,ENSMUSP00000062576.6|ENSMUST00000062264.7|ENSMUSG00000026434.12|OTTMUSG00000049194.1|OTTMUST00000125519.1|Nucks1-201|Nucks1|234,60.95,9,0,0,9,9,0,,,6.2679E5,8.8473E5,,2,2,0,0,7,8,0,,26313,ENSMUSP00000062576.6|ENSMUST00000062264.7|ENSMUSG00000026434.12|OTTMUSG00000049194.1|OTTMUST00000125519.1|Nucks1-201|Nucks1|234
450,1537,ENSMUSP00000140818.1|ENSMUST00000189946.6|ENSMUSG00000026434.12|OTTMUSG00000049194.1|OTTMUST00000125518.1|Nucks1-203|Nucks1|233,60.95,9,0,0,9,9,0,,,6.2679E5,8.8473E5,,2,2,0,0,7,8,0,,26184,ENSMUSP00000140818.1|ENSMUST00000189946.6|ENSMUSG00000026434.12|OTTMUSG00000049194.1|OTTMUST00000125518.1|Nucks1-203|Nucks1|233
147,2441,ENSMUSP00000029866.9|ENSMUST00000029866.15|ENSMUSG00000028212.16|OTTMUSG00000004537.1|OTTMUST00000010275.1|Ccne2-201|Ccne2|403,60.85,2,2,2,0,0,2,1.1134E8,4.2731E6,,,7.53E6,4,4,39,5,0,0,10,,46582,ENSMUSP00000029866.9|ENSMUST00000029866.15|ENSMUSG00000028212.16|OTTMUSG00000004537.1|OTTMUST00000010275.1|Ccne2-201|Ccne2|403
147,2442,ENSMUSP00000130693.1|ENSMUST00000170901.7|ENSMUSG00000028212.16|OTTMUSG00000004537.1|-|Ccne2-207|Ccne2|404,60.85,2,2,2,0,0,2,1.1134E8,4.2731E6,,,7.53E6,4,4,39,5,0,0,10,,46669,ENSMUSP00000130693.1|ENSMUST00000170901.7|ENSMUSG00000028212.16|OTTMUSG00000004537.1|-|Ccne2-207|Ccne2|404
147,2687,ENSMUST00000147725.7|ENSMUSG00000028212.16|OTTMUSG00000004537.1|OTTMUST00000010279.1|Ccne2-205|Ccne2|432|processed_transcript|,60.85,8,8,7,0,0,7,1.1134E8,4.2731E6,,,7.53E6,4,4,39,5,0,0,10,,13110,ENSMUST00000147725.7|ENSMUSG00000028212.16|OTTMUSG00000004537.1|OTTMUST00000010279.1|Ccne2-205|Ccne2|432|processed_transcript|
